organization,followers,following,public_repos,site_url,location,email,is_verified,type,total_repos,total_projects,total_stars,total_forks,total_open_issues,primary_languages
equinix,83,0,62,https://equinix.com,"Redwood City, CA",,True,Organization,62,0,429,470,452,"Go, HCL, HTML, Java, JavaScript, Mustache, Python, Ruby, Shell"
Xilinx,2465,0,425,www.amd.com,"San Jose, CA",,True,Organization,425,0,29100,14405,3152,"Assembly, BitBake, C, C++, CMake, CSS, Go, Groovy, HTML, Java, JavaScript, Jupyter Notebook, LLVM, MLIR, Makefile, Perl, Python, QML, ReScript, Rust, Shell, SystemVerilog, Tcl, TeX, TypeScript, VHDL, Verilog"
WMI,1,0,0,www.warnermusic.com,"London, UK",,False,Organization,0,0,0,0,0,N/A
att,162,0,101,http://www.att.com,,,False,Organization,101,0,1886,1083,862,"C, C++, CSS, Go, HTML, Java, JavaScript, Jupyter Notebook, Python, R, Ruby, Shell, TypeScript"
PrincipalFinancialGroup,12,0,0,www.principal.com/about-us,Global,,False,Organization,0,0,0,0,0,N/A
InternationalPaper,0,0,0,,,,False,Organization,0,0,0,0,0,N/A
groupon,13,0,87,https://engineering.groupon.com/,"Chicago, IL, USA",engineering@groupon.com,False,Organization,87,0,5786,1216,576,"C, C++, CSS, CoffeeScript, Java, JavaScript, Kotlin, Perl, Python, Ruby, Scala, Shell, TypeScript"
mckesson,631,0,0,,,,False,Organization,0,0,0,0,0,N/A
ElevanceHealth,0,0,0,,,,False,Organization,0,0,0,0,0,N/A
ArrowElectronics,27,0,57,http://www.arrow.com/,"Colorado, USA",,False,Organization,57,0,125,68,28,"BitBake, C, C++, HTML, JavaScript, Python, Shell, Tcl, Verilog"
eBay,539,0,210,https://opensource.ebay.com,,opensource@ebay.com,False,Organization,210,0,20276,4628,1400,"C, C#, C++, CSS, D, Dart, Go, Groovy, HTML, Java, JavaScript, Jupyter Notebook, Kotlin, Lua, Marko, Objective-C, PHP, Perl, Python, Scala, Shell, Starlark, Swift, TypeScript, Vue"
dell,714,0,163,https://developer.dell.com/,"One Dell Way, Round Rock, TX  USA",ospo@dell.com,False,Organization,163,0,4664,2010,762,"C, C#, C++, CSS, Go, HCL, HTML, JavaScript, Jupyter Notebook, Makefile, Open Policy Agent, Perl, PowerShell, Python, Ruby, Shell, SourcePawn, TypeScript, YAML"
Iron-Mountain-Software,1,0,36,,,ironmountainexplorations@gmail.com,False,Organization,36,0,4,0,0,"C#, ShaderLab"
springleaf,28,0,10,,,,False,Organization,10,0,3,56,10,"HTML, Ruby"
skechers,17,0,0,https://www.skechers.com,"Manhattan Beach, CA",,True,Organization,0,0,0,0,0,N/A
VarianMedicalSystems,5,0,0,https://www.varian.com,Germany,,False,Organization,0,0,0,0,0,N/A
pfizer-opensource,107,0,45,,,,False,Organization,45,0,309,119,34,"CSS, HTML, Java, JavaScript, Julia, Jupyter Notebook, MATLAB, Nextflow, Perl, Python, R"
Equifax-Public,20,0,1,https://www.equifax.com,,,True,Organization,1,0,38,15,8,SCSS
supermicro,18,0,9,https://www.supermicro.com,United States of America,,False,Organization,9,0,26,5,0,"Makefile, Python, Shell"
EliLillyCo,1882,0,11,www.lilly.com,"Indianapolis, US",EDAT_Operations@lists.lilly.com,False,Organization,11,0,192,62,46,"C++, Groovy, Java, JavaScript, PHP, Python, R"
Voya-Financial,20,0,3,,,,False,Organization,3,0,0,0,0,"JavaScript, PHP"
facebook,30914,0,149,https://opensource.fb.com,"Menlo Park, California",,True,Organization,149,0,1032584,188349,17365,"C, C#, C++, CSS, Go, HTML, Haskell, Java, JavaScript, Jupyter Notebook, Kotlin, OCaml, Objective-C, Objective-C++, PHP, Python, Ruby, Rust, Starlark, Swift, TypeScript"
ChevronETC,59,0,22,,,,False,Organization,22,0,134,38,87,"C++, HTML, Julia, Jupyter Notebook"
godaddy,187,0,195,https://godaddy.com/engineering/,,oss@godaddy.com,True,Organization,195,0,7357,1529,1485,"C#, C++, CSS, Dockerfile, EJS, Go, HTML, Java, JavaScript, Kotlin, Objective-C, PHP, Perl, Python, Ruby, Rust, Shell, TypeScript"
PACCAR,4,0,4,,,brian.cohen@paccar.com,False,Organization,4,0,3,2,0,"Python, R"
BlackstoneGroup,4,0,3,https://www.blackstone.com,,,False,Organization,3,0,0,0,0,"C#, Ruby"
hii-inc,0,0,0,,,,False,Organization,0,0,0,0,0,N/A
troweprice,47,0,5,,,,False,Organization,5,0,4,1,0,"Java, Python"
usbank,14,0,4,,"Minneapolis, MN",,False,Organization,4,0,5,1,2,N/A
The-Coca-Cola-Company,502,0,47,https://www.coca-cola.com/,"Atlanta, Georgia, United States of America",,False,Organization,47,0,1,5,0,JavaScript
HewlettPackardEnterprise,0,0,0,https://hpe.com/,,,False,Organization,0,0,0,0,0,N/A
Verizon,178,0,38,,United States of America,opensource@verizon.com,False,Organization,38,0,1716,394,51,"C, C#, C++, Clojure, Go, HTML, Java, JavaScript, Python, Scala"
Netflix,8378,0,232,http://netflix.github.io/,"Los Gatos, California",netflixoss@netflix.com,False,Organization,232,0,237038,36685,4666,"C, C#, C++, Clojure, D, Dockerfile, Go, Groovy, HCL, HTML, Java, JavaScript, Jupyter Notebook, Kotlin, Makefile, Python, R, Ruby, Rust, Scala, Shell, Smarty, TypeScript"
wayfair,53,0,24,https://www.aboutwayfair.com/careers/tech-blog,"Boston, MA // Berlin, Germany",,False,Organization,24,0,1421,325,137,"C, C++, Go, JavaScript, Jupyter Notebook, Kotlin, PHP, PowerShell, Python, Shell, Swift, TypeScript"
AMETEKTCI,5,0,5,https://www.ametekstc.com/,United States of America,ametektci.software@ametek.com,False,Organization,5,0,0,1,2,"C, C#, JavaScript"
Gartner-Lab,5,0,13,,,,False,Organization,13,0,19,4,0,"HTML, Jupyter Notebook, MATLAB, Python, R"
homedepot,58,0,78,https://homedepot.com,"Atlanta, GA",,False,Organization,78,0,269,214,180,"C++, CSS, CoffeeScript, Dockerfile, Go, Groovy, HCL, Java, JavaScript, PowerShell, Python, Ruby, Shell, TypeScript"
dxc-technology,92,0,40,https://dxc.com,United States of America,opensource@dxc.com,True,Organization,40,0,281,293,262,"CSS, Dart, Go, HTML, Java, JavaScript, Jupyter Notebook, Kotlin, Python, Ruby, SCSS, Shell, TypeScript"
globalpayments,60,0,33,https://developer.heartlandpaymentsystems.com/,,entapp_devportal@e-hps.com,False,Organization,33,0,267,395,319,"C#, CSS, Go, Java, JavaScript, Kotlin, Objective-C, PHP, Python, Ruby, Swift, TypeScript"
ryder,2,0,0,https://ryder.com,,,False,Organization,0,0,0,0,0,N/A
BallAerospace,12,0,16,http://www.ballaerospace.com/,"Broomfield, CO",,False,Organization,16,0,405,157,155,"Batchfile, C++, CSS, Dockerfile, HTML, JavaScript, MATLAB, Python, Ruby, Vue"
walgreens,13,0,1,www.walgreens.com,United States of America,,False,Organization,1,0,1,0,0,N/A
IPG,1,0,0,,,,False,Organization,0,0,0,0,0,N/A
Boeing,161,0,39,,,,False,Organization,39,0,471,131,59,"BitBake, C, C++, CMake, Go, HTML, Python, Starlark, TypeScript"
americanexpress,404,0,87,https://americanexpress.io,,opensource@aexp.com,False,Organization,87,0,9019,1117,333,"C#, Go, HTML, Java, JavaScript, Kotlin, PHP, Python, Ruby, Shell, Swift, TypeScript"
morganstanley,411,0,50,,,opensource@morganstanley.com,True,Organization,50,0,3457,802,215,"C, C#, C++, Java, JavaScript, Jupyter Notebook, MDX, Perl, Python, Scala, Shell, TypeScript"
MarriottLabs,1,0,5,www.marriottlabs.com,Marriott International,,False,Organization,5,0,2,8,6,"HTML, JavaScript, Python"
goldmansachs,1500,0,69,https://gs.com/opensource,,,False,Organization,69,0,12621,2066,244,"Go, HTML, Java, JavaScript, Jupyter Notebook, Lua, Nix, Python, Scala, Shell, TSQL, TypeScript"
bankofamerica,22,0,0,https://www.bankofamerica.com,"Charlotte, NC",,False,Organization,0,0,0,0,0,N/A
insight,3,0,7,,,,False,Organization,7,0,7,1,3,"JavaScript, PHP"
colpal,214,0,35,,,admin@colpal.com,True,Organization,35,0,24,33,139,"Dockerfile, Go, HCL, Java, JavaScript, Python, Shell, TypeScript"
olin-electric-motorsports,11,0,33,https://www.olinelectricmotorsports.com/,Olin College of Engineering,,False,Organization,33,0,47,322,58,"C, C++, CMake, CSS, Gnuplot, HTML, Makefile, Python, Shell, TeX"
guess-js,14,0,4,,,,False,Organization,4,0,7189,211,55,"JavaScript, TypeScript"
AmphenolAdvancedSensors,4,0,4,www.amphenol-sensors.com,Global,,False,Organization,4,0,26,19,6,C++
moodysanalytics,632,0,11,www.moodysanalytics.com,Moody's Analytics,,False,Organization,11,0,23,13,48,"C#, CSS, JavaScript, Python, R, SCSS, TypeScript"
Zebra,165,0,0,http://developer.zebra.com,,,False,Organization,0,0,0,0,0,N/A
aemsites,25,0,72,https://www.aem.live,,,False,Organization,72,0,26,77,657,"CSS, HTML, JavaScript, TypeScript"
EncompassTechnologies,49,0,0,https://www.encompasstech.com,"Fort Collins, Colorado, USA",support@encompasstech.com,True,Organization,0,0,0,0,0,N/A
officedepot,197,0,0,https://officedepot.com,,noreply@officedepot.com,True,Organization,0,0,0,0,0,N/A
MetLife,13,0,3,,United States of America,,False,Organization,3,0,0,0,1,N/A
Unisys,6,0,1,www.unisys.com,Global,,False,Organization,1,0,13,3,1,C#
Aflac-SCM,122,0,0,aflac.com,"Columbus, GA",aflac.com,True,Organization,0,0,0,0,0,N/A
Travelers,16,0,2,www.travelers.com,"Hartford, CT",opensource@travelers.com,False,Organization,2,0,0,0,0,"JavaScript, Python"
